,rk,g,date,unnamed: 3_level_1,opp,w/l,tm,opp,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,trb,ast,stl,blk,tov,pf,unnamed: 24_level_1,opp_fg,opp_fga,opp_fg%,opp_3p,opp_3pa,opp_3p%,opp_ft,opp_fta,opp_ft%,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,season,team
0,1,1,2023-10-26,,PHI,W,118,117,41,81,.506,11,30,.367,25,36,.694,8,43,20,9,4,14,23,,41,80,.513,16,35,.457,19,28,.679,4,39,25,8,4,15,28,2024,MIL
1,2,2,2023-10-29,,ATL,L,110,127,39,86,.453,16,44,.364,16,20,.800,12,39,22,10,3,23,22,,47,93,.505,15,37,.405,18,22,.818,13,46,32,15,2,17,17,2024,MIL
2,3,3,2023-10-30,,MIA,W,122,114,44,87,.506,12,37,.324,22,30,.733,9,43,24,8,5,14,23,,41,86,.477,13,34,.382,19,20,.950,7,40,27,7,2,14,20,2024,MIL
3,4,4,2023-11-01,@,TOR,L,111,130,35,76,.461,13,34,.382,28,38,.737,7,29,19,9,2,12,17,,51,91,.560,15,38,.395,13,14,.929,15,50,35,7,6,16,25,2024,MIL
4,5,5,2023-11-03,,NYK,W,110,105,35,82,.427,20,39,.513,20,28,.714,7,41,24,6,11,14,16,,38,96,.396,10,39,.256,19,25,.760,16,56,18,6,1,10,22,2024,MIL
5,6,6,2023-11-06,@,BRK,W,129,125,46,96,.479,16,48,.333,21,24,.875,12,48,26,6,2,10,13,,49,101,.485,16,45,.356,11,13,.846,11,46,22,2,4,8,16,2024,MIL
6,7,7,2023-11-08,,DET,W,120,118,41,90,.456,11,37,.297,27,32,.844,5,36,19,8,7,10,18,,48,98,.490,7,29,.241,15,16,.938,11,53,28,2,5,17,24,2024,MIL
7,8,8,2023-11-09,@,IND,L,124,126,46,87,.529,9,27,.333,23,26,.885,5,41,23,6,5,14,19,,44,92,.478,20,48,.417,18,20,.900,9,40,27,6,6,11,25,2024,MIL
8,9,9,2023-11-11,@,ORL,L,97,112,38,77,.494,9,29,.310,12,25,.480,5,36,25,9,6,19,24,,36,84,.429,10,26,.385,30,35,.857,15,43,24,9,2,13,17,2024,MIL
9,10,10,2023-11-13,,CHI,W,118,109,42,89,.472,15,47,.319,19,27,.704,13,53,23,3,5,15,23,,38,100,.380,14,42,.333,19,21,.905,18,47,24,9,7,6,25,2024,MIL
10,11,11,2023-11-15,@,TOR,W,128,112,44,85,.518,20,39,.513,20,21,.952,9,41,25,8,9,13,25,,38,96,.396,9,33,.273,27,31,.871,26,55,28,10,8,14,19,2024,MIL
11,12,12,2023-11-17,@,CHO,W,130,99,49,89,.551,22,45,.489,10,13,.769,4,49,32,4,7,13,21,,37,91,.407,6,26,.231,19,22,.864,9,43,18,5,2,12,14,2024,MIL
12,13,13,2023-11-18,,DAL,W,132,125,49,94,.521,17,45,.378,17,20,.850,5,41,29,8,3,6,16,,51,103,.495,16,47,.340,7,10,.700,11,49,27,1,2,12,16,2024,MIL
13,14,14,2023-11-20,@,WAS,W,142,129,55,94,.585,11,29,.379,21,28,.750,16,55,33,3,6,13,13,,55,99,.556,10,29,.345,9,11,.818,5,26,29,6,4,4,19,2024,MIL
14,15,15,2023-11-22,@,BOS,L,116,119,45,101,.446,13,34,.382,13,17,.765,13,47,23,9,2,9,19,,44,84,.524,17,42,.405,14,17,.824,4,43,27,3,5,15,15,2024,MIL
15,16,16,2023-11-24,,WAS,W,131,128,48,92,.522,9,31,.290,26,33,.788,10,50,28,6,6,9,22,,48,100,.480,15,37,.405,17,21,.810,12,46,29,3,4,8,24,2024,MIL
16,17,17,2023-11-26,,POR,W,108,102,35,89,.393,14,42,.333,24,32,.750,18,52,19,13,11,17,20,,37,91,.407,13,32,.406,15,20,.750,11,40,21,15,4,17,26,2024,MIL
17,18,18,2023-11-28,@,MIA,W,131,124,47,88,.534,13,35,.371,24,27,.889,8,45,26,3,4,9,21,,48,94,.511,14,30,.467,14,21,.667,8,35,32,3,5,6,22,2024,MIL
18,19,19,2023-11-30,@,CHI,L,113,120,44,98,.449,16,48,.333,9,13,.692,9,43,28,12,6,20,21,,45,98,.459,13,37,.351,17,22,.773,14,51,32,14,4,21,18,2024,MIL
19,20,20,2023-12-02,,ATL,W,132,121,53,89,.596,14,33,.424,12,15,.800,8,44,33,5,6,15,19,,45,101,.446,15,38,.395,16,21,.762,15,40,23,11,4,11,14,2024,MIL
20,,,,,,,,,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2024,MIL
21,Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2024,MIL
