,id,rk,g,date,unnamed: 3_level_1,opp,w/l,tm,opp.1,fg,fga,fg%,3p,3pa,3p%,ft,fta,ft%,orb,trb,ast,stl,blk,tov,pf,opp_fg,opp_fga,opp_fg%,opp_3p,opp_3pa,opp_3p%,opp_ft,opp_fta,opp_ft%,opp_orb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,season,team
253,73,68,68,2024-03-20,,UTA,W,119,107,43,88,.489,10,34,.294,23,29,.793,10,45,29,10,7,10,16,40,90,.444,10,36,.278,17,18,.944,11,47,20,6,5,15,22,2024,OKC
254,74,69,69,2024-03-22,@,TOR,W,123,103,48,95,.505,12,32,.375,15,19,.789,13,46,27,17,5,15,20,40,76,.526,11,30,.367,12,17,.706,5,36,34,12,3,27,18,2024,OKC
255,75,70,70,2024-03-24,@,MIL,L,93,118,33,89,.371,10,43,.233,17,22,.773,10,37,20,9,1,12,16,49,92,.533,11,34,.324,9,14,.643,15,57,33,7,5,16,21,2024,OKC
256,76,71,71,2024-03-26,@,NOP,W,119,112,46,86,.535,15,34,.441,12,14,.857,7,45,28,5,3,12,17,39,86,.453,14,38,.368,20,23,.870,5,37,26,7,2,9,18,2024,OKC
257,77,72,72,2024-03-27,,HOU,L,126,132,47,96,.490,14,38,.368,18,24,.750,13,49,26,7,7,19,24,50,104,.481,15,43,.349,17,23,.739,16,50,25,10,3,16,24,2024,OKC
258,78,73,73,2024-03-29,,PHO,W,128,103,49,87,.563,16,30,.533,14,14,1.000,7,38,33,7,7,10,13,39,87,.448,13,41,.317,12,15,.800,13,39,26,6,6,14,15,2024,OKC
259,79,74,74,2024-03-31,@,NYK,W,113,112,44,82,.537,13,34,.382,12,24,.500,9,43,29,6,8,12,23,38,92,.413,13,43,.302,23,34,.676,15,46,24,8,3,10,19,2024,OKC
260,80,75,75,2024-04-02,@,PHI,L,105,109,37,87,.425,13,39,.333,18,22,.818,12,43,30,10,9,14,18,36,78,.462,14,30,.467,23,25,.920,9,42,27,8,4,16,20,2024,OKC
261,81,76,76,2024-04-03,@,BOS,L,100,135,35,81,.432,5,24,.208,25,28,.893,5,31,21,8,5,13,11,50,92,.543,17,40,.425,18,19,.947,11,46,33,7,10,10,18,2024,OKC
262,82,77,77,2024-04-05,@,IND,L,112,126,42,86,.488,8,30,.267,20,24,.833,9,39,24,8,6,15,17,46,88,.523,15,35,.429,19,21,.905,8,39,30,8,5,13,23,2024,OKC
263,83,78,78,2024-04-07,@,CHO,W,121,118,45,87,.517,18,36,.500,13,17,.765,10,36,33,14,4,16,17,45,83,.542,17,40,.425,11,14,.786,7,36,29,12,9,18,14,2024,OKC
264,84,79,79,2024-04-09,,SAC,W,112,105,39,80,.488,11,30,.367,23,31,.742,6,42,21,11,8,13,18,33,96,.344,20,58,.345,19,26,.731,21,56,23,8,4,17,22,2024,OKC
265,85,80,80,2024-04-10,,SAS,W,127,89,47,101,.465,16,38,.421,17,21,.810,7,62,33,12,6,12,16,32,96,.333,9,40,.225,16,20,.800,4,47,24,8,4,15,14,2024,OKC
